endpoint	path	type	k_cum	periods_seen	last_period
enhet	aktivitet[]	string	686	1	2026-06-17T14:06:41Z
enhet	antallAnsatte	integer	46	1	2026-06-17T14:06:41Z
enhet	epostadresse	string	202	1	2026-06-17T14:06:41Z
enhet	erIKonsern	boolean	686	1	2026-06-17T14:06:41Z
enhet	foretaksformIHjemlandet.beskrivelse	string	8	1	2026-06-17T14:06:41Z
enhet	foretaksformIHjemlandet.beskrivelseBokmaal	string	8	1	2026-06-17T14:06:41Z
enhet	foretaksformIHjemlandet.kode	string	8	1	2026-06-17T14:06:41Z
enhet	forretningsadresse.adresse[]	string	670	1	2026-06-17T14:06:41Z
enhet	forretningsadresse.kommune	string	660	1	2026-06-17T14:06:41Z
enhet	forretningsadresse.kommunenummer	string	660	1	2026-06-17T14:06:41Z
enhet	forretningsadresse.land	string	674	1	2026-06-17T14:06:41Z
enhet	forretningsadresse.landkode	string	674	1	2026-06-17T14:06:41Z
enhet	forretningsadresse.postnummer	string	660	1	2026-06-17T14:06:41Z
enhet	forretningsadresse.poststed	string	674	1	2026-06-17T14:06:41Z
enhet	fravalgRevisjonBeslutningsDato	string	188	1	2026-06-17T14:06:41Z
enhet	fravalgRevisjonDato	string	217	1	2026-06-17T14:06:41Z
enhet	frivilligMvaRegistrertBeskrivelser[]	string	23	1	2026-06-17T14:06:41Z
enhet	harRegistrertAntallAnsatte	boolean	686	1	2026-06-17T14:06:41Z
enhet	historiskeNavn[].fraDato	string	144	1	2026-06-17T14:06:41Z
enhet	historiskeNavn[].navn	string	144	1	2026-06-17T14:06:41Z
enhet	historiskeNavn[].tilDato	string	144	1	2026-06-17T14:06:41Z
enhet	hjelpeenhetskode.beskrivelse	string	17	1	2026-06-17T14:06:41Z
enhet	hjelpeenhetskode.kode	string	17	1	2026-06-17T14:06:41Z
enhet	hjemmeside	string	79	1	2026-06-17T14:06:41Z
enhet	institusjonellSektorkode.beskrivelse	string	653	1	2026-06-17T14:06:41Z
enhet	institusjonellSektorkode.kode	string	653	1	2026-06-17T14:06:41Z
enhet	kapital.antallAksjer	integer	297	1	2026-06-17T14:06:41Z
enhet	kapital.belop	number	303	1	2026-06-17T14:06:41Z
enhet	kapital.fulltInnbetalt	boolean	3	1	2026-06-17T14:06:41Z
enhet	kapital.innbetalt	number	4	1	2026-06-17T14:06:41Z
enhet	kapital.innfortDato	string	303	1	2026-06-17T14:06:41Z
enhet	kapital.type	string	303	1	2026-06-17T14:06:41Z
enhet	kapital.valuta	string	303	1	2026-06-17T14:06:41Z
enhet	konkurs	boolean	686	1	2026-06-17T14:06:41Z
enhet	maalform	string	686	1	2026-06-17T14:06:41Z
enhet	mobil	string	163	1	2026-06-17T14:06:41Z
enhet	naeringskode1.beskrivelse	string	647	1	2026-06-17T14:06:41Z
enhet	naeringskode1.kode	string	647	1	2026-06-17T14:06:41Z
