endpoint	path	type	required
enhet	aktivitet[]	string	TRUE
enhet	antallAnsatte	integer	FALSE
enhet	epostadresse	string	FALSE
enhet	erIKonsern	boolean	TRUE
enhet	foretaksformIHjemlandet.beskrivelse	string	TRUE
enhet	foretaksformIHjemlandet.beskrivelseBokmaal	string	TRUE
enhet	foretaksformIHjemlandet.kode	string	TRUE
enhet	forretningsadresse.adresse[]	string	TRUE
enhet	forretningsadresse.kommune	string	TRUE
enhet	forretningsadresse.kommunenummer	string	TRUE
enhet	forretningsadresse.land	string	TRUE
enhet	forretningsadresse.landkode	string	TRUE
enhet	forretningsadresse.postnummer	string	TRUE
enhet	forretningsadresse.poststed	string	TRUE
enhet	fravalgRevisjonBeslutningsDato	string	FALSE
enhet	fravalgRevisjonDato	string	FALSE
enhet	frivilligMvaRegistrertBeskrivelser[]	string	FALSE
enhet	harRegistrertAntallAnsatte	boolean	TRUE
enhet	historiskeNavn[].fraDato	string	TRUE
enhet	historiskeNavn[].navn	string	TRUE
enhet	historiskeNavn[].tilDato	string	TRUE
enhet	hjelpeenhetskode.beskrivelse	string	TRUE
enhet	hjelpeenhetskode.kode	string	TRUE
enhet	hjemmeside	string	FALSE
enhet	institusjonellSektorkode.beskrivelse	string	TRUE
enhet	institusjonellSektorkode.kode	string	TRUE
enhet	kapital.antallAksjer	integer	FALSE
enhet	kapital.belop	number	TRUE
enhet	kapital.fulltInnbetalt	boolean	FALSE
enhet	kapital.innbetalt	number	FALSE
enhet	kapital.innfortDato	string	TRUE
enhet	kapital.type	string	TRUE
enhet	kapital.valuta	string	TRUE
enhet	konkurs	boolean	TRUE
enhet	maalform	string	TRUE
enhet	mobil	string	FALSE
enhet	naeringskode1.beskrivelse	string	TRUE
enhet	naeringskode1.kode	string	TRUE
enhet	naeringskode2.beskrivelse	string	TRUE
enhet	naeringskode2.kode	string	TRUE
enhet	navn	string	TRUE
enhet	organisasjonsform.beskrivelse	string	TRUE
enhet	organisasjonsform.kode	string	TRUE
enhet	organisasjonsnummer	string	TRUE
enhet	paategninger[].infotype	string	TRUE
enhet	paategninger[].innfoertDato	string	TRUE
enhet	paategninger[].tekst	string	TRUE
enhet	postadresse.adresse[]	string	TRUE
enhet	postadresse.kommune	string	FALSE
enhet	postadresse.kommunenummer	string	FALSE
enhet	postadresse.land	string	TRUE
enhet	postadresse.landkode	string	TRUE
enhet	postadresse.postnummer	string	FALSE
enhet	postadresse.poststed	string	TRUE
enhet	registreringsdatoAntallAnsatteEnhetsregisteret	string	FALSE
enhet	registreringsdatoAntallAnsatteNAVAaregisteret	string	FALSE
enhet	registreringsdatoEnhetsregisteret	string	TRUE
enhet	registreringsdatoForetaksregisteret	string	FALSE
enhet	registreringsdatoFrivilligMerverdiavgiftsregisteret	string	FALSE
enhet	registreringsdatoFrivillighetsregisteret	string	FALSE
enhet	registreringsdatoMerverdiavgiftsregisteret	string	FALSE
enhet	registreringsdatoMerverdiavgiftsregisteretEnhetsregisteret	string	FALSE
enhet	registreringsnummerIHjemlandet	string	FALSE
enhet	registrertIForetaksregisteret	boolean	TRUE
enhet	registrertIFrivillighetsregisteret	boolean	TRUE
enhet	registrertIMvaregisteret	boolean	TRUE
enhet	registrertIPartiregisteret	boolean	TRUE
enhet	registrertIStiftelsesregisteret	boolean	TRUE
enhet	respons_klasse	string	TRUE
enhet	sisteInnsendteAarsregnskap	string	FALSE
enhet	stiftelsesdato	string	FALSE
enhet	telefon	string	FALSE
enhet	underAvvikling	boolean	TRUE
enhet	underAvviklingDato	string	FALSE
enhet	underTvangsavviklingEllerTvangsopplosning	boolean	TRUE
enhet	underlagtLovgivningLand	string	FALSE
enhet	underlagtLovgivningLandKode	string	FALSE
enhet	utenlandskRegisterAdresse.adresse[]	string	TRUE
enhet	utenlandskRegisterAdresse.land	string	TRUE
enhet	utenlandskRegisterAdresse.poststed	string	TRUE
enhet	utenlandskRegisterNavn	string	FALSE
enhet	vedtektsdato	string	FALSE
enhet	vedtektsfestetFormaal[]	string	FALSE
underenhet	antallAnsatte	integer	FALSE
underenhet	beliggenhetsadresse.adresse[]	string	TRUE
underenhet	beliggenhetsadresse.kommune	string	FALSE
underenhet	beliggenhetsadresse.kommunenummer	string	FALSE
underenhet	beliggenhetsadresse.land	string	TRUE
underenhet	beliggenhetsadresse.landkode	string	TRUE
underenhet	beliggenhetsadresse.postnummer	string	FALSE
underenhet	beliggenhetsadresse.poststed	string	TRUE
underenhet	datoEierskifte	string	FALSE
underenhet	epostadresse	string	FALSE
underenhet	harRegistrertAntallAnsatte	boolean	TRUE
underenhet	historiskeNavn[].fraDato	string	TRUE
underenhet	historiskeNavn[].navn	string	TRUE
underenhet	historiskeNavn[].tilDato	string	TRUE
underenhet	hjelpeenhetskode.beskrivelse	string	TRUE
underenhet	hjelpeenhetskode.kode	string	TRUE
underenhet	hjemmeside	string	FALSE
underenhet	mobil	string	FALSE
underenhet	naeringskode1.beskrivelse	string	TRUE
underenhet	naeringskode1.kode	string	TRUE
underenhet	naeringskode2.beskrivelse	string	TRUE
underenhet	naeringskode2.kode	string	TRUE
underenhet	navn	string	TRUE
underenhet	oppstartsdato	string	FALSE
underenhet	organisasjonsform.beskrivelse	string	TRUE
underenhet	organisasjonsform.kode	string	TRUE
underenhet	organisasjonsnummer	string	TRUE
underenhet	overordnetEnhet	string	TRUE
underenhet	postadresse.adresse[]	string	TRUE
underenhet	postadresse.kommune	string	FALSE
underenhet	postadresse.kommunenummer	string	FALSE
underenhet	postadresse.land	string	TRUE
underenhet	postadresse.landkode	string	TRUE
underenhet	postadresse.postnummer	string	FALSE
underenhet	postadresse.poststed	string	TRUE
underenhet	registreringsdatoAntallAnsatteEnhetsregisteret	string	FALSE
underenhet	registreringsdatoAntallAnsatteNAVAaregisteret	string	FALSE
underenhet	registreringsdatoEnhetsregisteret	string	TRUE
underenhet	registrertIMvaregisteret	boolean	TRUE
underenhet	respons_klasse	string	TRUE
underenhet	telefon	string	FALSE
